layer,n,align_delta_mean,align_delta_std,margin_gain_mean,margin_gain_std,acc_gain_mean,acc_gain_std,cos_gain_mean,cos_gain_std,acc_fr_unal_mean,acc_fr_al_mean,acc_fr_star_mean,m_fr_unal_mean,m_fr_al_mean,m_fr_star_mean
13,20,0.023959306895721937,0.008951713397537276,0.006974908945549241,0.00562910992431719,-0.00625,0.013752990105504516,0.03064973386964569,0.011567824564335256,0.6475,0.6412500000000001,0.6587500000000001,0.11368330670520663,0.12065821565075588,0.35102634206414224
14,20,0.024893138122115993,0.00999192508272859,0.008183495239175564,0.006249781626628507,-0.0024999999999999996,0.01381265628632705,0.033052947442455585,0.012859162569198267,0.64625,0.64375,0.65625,0.1542681418824941,0.16245163712166966,0.36142150056548417
15,20,0.024745529036168324,0.011459330958994806,0.01094888984373427,0.008436448931638432,-0.006249999999999994,0.02126740773058501,0.040235268800503605,0.014313079979146673,0.6537499999999999,0.6475,0.6587500000000001,0.14099620792549103,0.15194509776922532,0.361320943152532
16,20,0.02626122964788501,0.013008851952137596,0.01362799894110762,0.009725114950676034,-0.007499999999999998,0.014281014264436983,0.047513077994799854,0.016059906698898393,0.6537499999999999,0.64625,0.6599999999999999,0.13611654695123435,0.14974454589234196,0.3586146889720112
17,20,0.02998212884076417,0.014962186396016982,0.01778218931344284,0.011382550691052857,-0.0037500000000000033,0.012234012123239834,0.054107188187293674,0.017568106150730182,0.68125,0.6775,0.675,0.18432192159816624,0.20210411091160907,0.37975721186958256
18,20,0.03339603642462675,0.015251445715915416,0.025077080976593735,0.014357582937221058,0.01624999999999998,0.023332550112168234,0.0733270991019863,0.020354282660449058,0.66625,0.6825,0.6799999999999999,0.1885398068698123,0.21361688784640603,0.3853317419998348
19,20,0.0347651843375591,0.016330294304398234,0.03095008633831644,0.01784729335503666,0.018749999999999996,0.038793481546856766,0.08760210398100346,0.02096029969341203,0.66125,0.6799999999999999,0.6799999999999999,0.18831194953527303,0.21926203587358944,0.39467786271125077
20,20,0.03685699954454668,0.015957943705876134,0.04418063626787295,0.02175994593685412,0.017500000000000005,0.035448257324844926,0.11206692216076745,0.024779605223304992,0.64625,0.6637500000000001,0.6537499999999999,0.18107897814334137,0.2252596144112143,0.41724519710987806
21,20,0.04084558999556625,0.01624033877891251,0.049853198925275406,0.02583520741140125,0.01875000000000001,0.027950849718747367,0.11937668245102898,0.02518337477297664,0.635,0.6537499999999999,0.6537499999999999,0.1789655168831814,0.22881871580845684,0.42198616405948997
22,20,0.04289389467043287,0.016703887588604673,0.05567967009757213,0.027711616195079357,0.023749999999999993,0.03486345545576039,0.12650840062671515,0.026097004386071373,0.65125,0.675,0.67625,0.184549181163311,0.24022885126088314,0.4298219677060843
23,20,0.04922142519184684,0.017273176550963963,0.05768492532480189,0.0267541063215593,0.01625,0.031700697319243874,0.12904065286012936,0.025119256890479804,0.63875,0.655,0.6525000000000001,0.17404199088923633,0.2317269162140382,0.42772699147462845
24,20,0.055415236957208916,0.017661172571795145,0.06152973380963504,0.02829760271717522,0.010000000000000023,0.028562028528873958,0.13398458920322748,0.024919774993122625,0.64125,0.65125,0.65125,0.1813184684375301,0.24284820224716513,0.43679479528218507
25,20,0.06384227590137623,0.01826398294607232,0.06660026709118001,0.029229109920048704,0.00375000000000002,0.02333255011216824,0.14278462101816786,0.024185121296122297,0.64625,0.65,0.6575,0.185288103017956,0.251888370109136,0.44172763591632247
26,20,0.0752357009863607,0.018938174172251264,0.075097539322945,0.02873019890787638,0.002500000000000008,0.03234273692158637,0.15593204527002016,0.024842408022150465,0.6487499999999999,0.65125,0.6599999999999999,0.19344097203575075,0.2685385113586957,0.4501233950257301
27,20,0.09342088225629105,0.019484172830103078,0.09374222073180921,0.033093860117372316,-0.0024999999999999966,0.04581139825989066,0.18317229334572205,0.026395622275434225,0.6637500000000001,0.66125,0.6537499999999999,0.2034453593660146,0.2971875800978238,0.47282513761892914
28,20,0.12175765250776889,0.02103942897635238,0.12597430242774715,0.03557015567931273,0.0037499999999999977,0.024702173354202127,0.23867521360362787,0.024546666903550087,0.665,0.66875,0.65,0.1800166424829513,0.30599094491069845,0.4847112949937582
29,20,0.14625513779936683,0.023293821264618864,0.10158787090406265,0.031173709306731086,-0.0125,0.031933318682925246,0.1863472000710618,0.01817745148258157,0.77625,0.76375,0.7025,0.3525826998054981,0.4541705707095608,0.5956557244062424
30,20,0.17162570035914584,0.025878171479809576,0.11992754422304368,0.03850697370093361,-0.008749999999999997,0.04885195142360985,0.21652771843075955,0.0165581383798531,0.8,0.79125,0.73125,0.3568292945623398,0.47675683878538344,0.6029972389340401
31,20,0.1425703460677381,0.02830981827260019,0.1621865512077335,0.05107256514683438,0.014999999999999986,0.04397966037062802,0.22585218109883579,0.01881775638182117,0.75625,0.77125,0.7112499999999999,0.3242389939725399,0.48642554518027337,0.6923101380467415
