seed,tag,layer,relation,align_before,align_after,align_delta,acc_eng,acc_fr_unaligned,acc_fr_aligned,acc_fr_upper,m_fr_unal,m_fr_al,m_fr_star,cos_raw_weng_wfrstar,cos_wfrhat_wfrstar,r,n_train,n_test,shuffle_train_pairs,condition,acc_gain_fr,margin_gain_fr,cos_gain
0,shuffled,10,__all__,0.6542505025863647,0.0181351937353611,-0.6361153088510036,0.7,0.5,0.7,0.7,-0.3281506597995758,0.07813291251659393,0.6848549842834473,-0.2790459096431732,0.10111743211746216,256,160,40,True,shuffled,0.19999999999999996,0.40628357231616974,0.3801633417606354
0,shuffled,11,__all__,0.6557139158248901,-0.10523657500743866,-0.7609504908323288,0.725,0.45,0.65,0.725,-0.2627427279949188,0.201750710606575,0.681451678276062,-0.16728386282920837,0.25578930974006653,256,160,40,True,shuffled,0.2,0.46449343860149384,0.4230731725692749
0,shuffled,12,__all__,0.6529021859169006,-0.5017297863960266,-1.1546319723129272,0.675,0.475,0.625,0.725,-0.1990388035774231,0.250945508480072,0.6819798350334167,-0.051634423434734344,0.3158973157405853,256,160,40,True,shuffled,0.15000000000000002,0.4499843120574951,0.36753173917531967
0,shuffled,13,__all__,0.6557068824768066,-0.03294744898277078,-0.6886543314595774,0.65,0.475,0.75,0.775,-0.07146219909191132,0.11863168041269578,0.6877229809761047,0.15549659729003906,0.17500213537031356,256,160,40,True,shuffled,0.275,0.1900938795046071,0.019505538080274498
0,shuffled,14,__all__,0.6624053716659546,0.4971711039543152,-0.1652342677116394,0.7,0.65,0.275,0.8,0.017157763242721558,-0.06045069172978401,0.6980371475219727,0.26899102330207825,-0.09244322776794434,256,160,40,True,shuffled,-0.375,-0.07760845497250557,-0.3614342510700226
0,shuffled,15,__all__,0.6657679677009583,-0.37456637620925903,-1.0403343439102173,0.65,0.5,0.7,0.775,-0.007458309177309275,0.11475763469934464,0.6893315315246582,0.25377702713012695,0.12183653563261032,256,160,40,True,shuffled,0.19999999999999996,0.12221594387665391,-0.13194049149751663
0,shuffled,16,__all__,0.6707277297973633,0.3152584764146665,-0.3554692533826968,0.65,0.55,0.4,0.8,-0.0015442088479176164,-0.12680810951856572,0.6801228523254395,0.27287065982818604,-0.1302074571370051,256,160,40,True,shuffled,-0.15000000000000002,-0.1252639006706481,-0.40307811696519114
0,shuffled,17,__all__,0.6766650080680847,0.3648847403566503,-0.3117802677114344,0.85,0.75,0.275,0.825,0.1103428453207016,-0.11623189513267378,0.7000101804733276,0.42358317971229553,-0.1736662575412155,256,160,40,True,shuffled,-0.475,-0.2265747404533754,-0.5972494372535111
0,shuffled,18,__all__,0.6765518188476562,-0.005638384260237217,-0.6821902031078935,0.9,0.775,0.65,0.8,0.12090250104665756,0.00021725744591094553,0.6896651387214661,0.4464331567287445,0.014734235592186451,256,160,40,True,shuffled,-0.125,-0.12068524360074662,-0.43169892113655806
0,shuffled,19,__all__,0.6779283285140991,0.013479095883667469,-0.6644492326304317,0.825,0.725,0.675,0.8,0.12182873487472534,0.07660267502069473,0.7045104503631592,0.46725499629974365,0.03218001127243042,256,160,40,True,shuffled,-0.04999999999999993,-0.04522605985403061,-0.43507498502731323
